Galaxy Number,X coord,Y coord,X radius,Y radius,Pixel Count 
689,1614,4329,7,5,10778.0 
690,652,307,7,5,9717.0 
691,1861,770,6,7,14387.0 
692,2035,2585,6,6,11010.0 
693,2273,2645,16,5,6470.0 
694,1623,3550,4,4,4510.0 
695,2186,2740,5,5,6764.0 
696,1713,3181,6,7,9370.0 
697,1713,3182,8,6,561.0 
698,2289,3278,7,7,8350.0 
699,2107,500,7,6,14588.0 
700,767,1158,5,5,7006.0 
701,1189,2269,16,5,4680.0 
702,925,2273,12,42,35046.0 
703,657,4509,9,1,1173.0 
704,101,663,10,22,32208.0 
705,2069,2254,5,5,7669.0 
706,750,3317,70,32,87563.0 
707,1649,2269,6,8,12231.0 
708,1649,2270,7,7,1079.0 
709,1909,2322,5,4,5107.0 
710,950,2332,6,12,21182.0 
711,1005,2548,5,4,5964.0 
712,1006,2548,4,5,403.0 
713,1615,108,4,5,5653.0 
714,1690,601,5,4,5935.0 
715,2069,2389,5,5,7589.0 
716,2117,4319,4,3,3708.0 
717,2466,455,3,38,4576.0 
718,659,3667,5,5,7032.0 
719,1151,4241,5,5,5725.0 
720,2110,4344,5,4,5658.0 
721,837,1428,6,5,9223.0 
722,1763,3066,4,5,4867.0 
723,1052,3755,6,5,7388.0 
724,634,1875,5,4,6210.0 
725,1332,843,6,7,6500.0 
726,1136,2886,9,5,12332.0 
727,772,355,7,8,16675.0 
728,385,2936,7,6,10805.0 
729,2283,4223,5,6,9164.0 
730,855,3303,5,6,8231.0 
731,304,131,9,8,19105.0 
732,302,133,10,7,3664.0 
733,191,201,6,6,8708.0 
734,1913,2429,6,5,9218.0 
735,2289,1368,6,6,11335.0 
736,2281,4444,2,1,547.0 
737,1368,266,6,5,7907.0 
738,1009,3471,6,7,10380.0 
739,622,3596,4,5,4725.0 
740,273,4372,9,7,19800.0 
741,1294,204,5,4,4510.0 
742,1948,1591,5,5,7211.0 
743,2469,1688,1,6,435.0 
744,2460,1761,7,6,8440.0 
745,789,2655,6,6,9268.0 
746,2406,4301,4,4,3416.0 
747,2089,916,7,7,15634.0 
748,986,194,10,5,6506.0 
749,1821,1647,5,5,7417.0 
750,1654,2380,5,5,6920.0 
751,570,2856,5,5,7681.0 
752,1556,3218,57,164,107192.0 
753,141,4042,6,5,6105.0 
754,1064,3317,6,7,9055.0 
755,2147,3577,4,5,4851.0 
756,1487,3696,6,4,5351.0 
757,1461,3695,5,6,7501.0 
758,1096,3866,5,16,10000.0 
759,2053,4171,6,4,7554.0 
760,2450,791,4,3,3108.0 
761,340,1913,6,6,9880.0 
762,2438,1634,6,4,5739.0 
763,1093,2624,5,4,5074.0 
764,1975,2801,5,7,10538.0 
765,1114,3577,5,7,9150.0 
766,1868,2487,5,4,5533.0 
767,185,3683,4,4,4311.0 
768,318,819,6,5,7780.0 
769,709,3033,5,6,7948.0 
770,615,3413,7,6,11420.0 
771,1582,1460,5,5,5835.0 
772,920,3395,11,19,12669.0 
773,903,4252,7,5,10387.0 
774,2468,1675,1,18,573.0 
775,1688,386,6,9,16167.0 
776,1337,825,7,21,8266.0 
777,1906,1925,6,4,6271.0 
778,2346,2407,5,5,6845.0 
779,782,129,6,6,8775.0 
780,782,130,7,5,936.0 
781,1207,256,8,6,10440.0 
782,1487,1591,5,5,5397.0 
783,1769,2232,4,5,4653.0 
784,1564,2571,7,7,11442.0 
785,334,3033,5,5,6532.0 
786,1257,986,5,4,5534.0 
787,1842,1712,6,5,8952.0 
788,2416,3274,5,5,6481.0 
789,1420,2237,5,4,5077.0 
