Galaxy Number,X coord,Y coord,X radius,Y radius,Max Pixel,Local Background,Pixel Count,Photon Count,Magnitude 
378,850,2327,8,6,3837,3432.93291,1416,19577,14.57063465
379,240,2763,7,14,3835,3416.919138,4316,39762,13.80132945
380,1818,3735,5,6,3834,3428.711538,780,13058,15.01030834
381,2157,1325,6,6,3833,3425.317949,780,13832,14.94778755
382,174,1454,10,8,3831,3423.150023,2133,30638,14.08434897
383,196,1587,7,9,3830,3417.63427,1780,27159,14.21521556
384,407,556,6,5,3826,3427.64359,780,12506,15.05720394
385,578,2449,5,5,3825,3427.767731,564,11482,15.14995614
386,1721,2599,11,7,3824,3432.823728,2672,32539,14.0189895
387,1841,3064,6,4,3822,3434.384615,780,9071,15.40586208
388,2228,449,5,5,3819,3417.911348,564,12962,15.01831996
389,966,4178,5,5,3819,3423.691489,564,8328,15.49864821
390,937,3830,6,11,3817,3422.48241,2672,28084,14.17885259
391,1974,2741,6,5,3815,3428.724138,725,13259,14.99372307
392,1085,4057,6,6,3815,3424.048718,780,11007,15.19582758
393,1710,2600,1,5,3813,3431.843666,371,6074,15.84131303
394,275,3011,17,11,3811,3417.104585,6368,52969,13.48994557
395,2154,3509,6,5,3811,3422.275641,780,11644,15.13474451
396,1973,3857,7,5,3811,3426.763838,1084,14044,14.93127295
397,799,1055,5,5,3810,3426.737589,564,10242,15.27403807
398,1249,2012,6,5,3810,3418.8,780,11798,15.12047902
399,2053,109,7,18,3809,3410.066531,3938,44852,13.67054547
400,1040,725,6,6,3809,3426.697436,780,11250,15.17211869
401,1749,2135,6,6,3808,3423.967949,780,13384,14.98353518
402,928,3373,7,7,3808,3442.979138,719,20451,14.52321363
403,269,472,7,6,3806,3424.139299,1084,16116,14.78185685
404,303,4396,8,8,3806,3426.031073,1416,23196,14.38646725
405,586,137,7,8,3804,3425.898305,1416,20790,14.50536378
406,108,208,7,8,3804,3421.444332,988,17231,14.70922379
407,1194,3701,5,6,3803,3433.05641,780,8491,15.4776029
408,1096,615,10,14,3801,3430.784754,4316,44107,13.6887312
409,430,115,5,4,3800,3424.335106,564,8217,15.51321678
410,1668,2506,9,9,3800,3430.775281,1780,30564,14.08697452
411,2386,846,6,5,3799,3407.862821,780,10532,15.24372287
412,945,3430,7,7,3799,3434.640221,1084,14089,14.92779958
413,2407,167,7,6,3798,3411.238007,1084,15337,14.83564896
414,1325,708,5,5,3798,3433.766147,449,9500,15.35569099
415,2251,4357,8,4,3798,3411.734463,1416,16701,14.74314381
416,1311,491,10,1,3796,3432.043978,1478,18569,14.62802871
417,1445,602,1,2,3793,3417.608696,46,503,18.54608004
418,678,1769,9,8,3793,3426.83697,1558,30560,14.08711663
419,979,1081,20,7,3792,3423.73039,8427,49512,13.56322383
420,1975,3669,6,7,3792,3421.898524,1084,16735,14.74093571
421,445,499,7,7,3790,3435.190959,1084,16550,14.753005
422,117,1272,5,5,3788,3423.097518,564,10254,15.27276672
423,2433,2936,6,5,3788,3421.635779,777,13334,14.98759887
